NOME,QUANT,VL,Data,TIPO
ABEMACICLIBE 50 MG,540,"76,12",25/11/2024,MEDICAMENTO
ABIRATERONA 250MG,2040,"10,67",25/11/2024,MEDICAMENTO
ABIRATERONA 500MG ,0,"165,00",25/11/2024,MEDICAMENTO
ACALABRUTINIBE 100MG,0,"783,33",25/11/2024,MEDICAMENTO
ACETATO DE ICATIBANTO 10MG/ML,30,"7081,59",25/11/2024,MEDICAMENTO
"ACETATO DE LEUPRORRELINA 3,75MG",0,"220,00",25/11/2024,MEDICAMENTO
"ACETATO DE LEUPRORRELINA 7,5MG",11,"265,52",25/11/2024,MEDICAMENTO
ACIDO ASCORBICO,1170,"0,15",25/11/2024,MEDICAMENTO
ACIDO ACETIL SALICILICO 100MG,4260,"0,04",25/11/2024,MEDICAMENTO
ACIDO FOLICO,1690,"0,15",25/11/2024,MEDICAMENTO
ACIDOS GRAXOS ESSENCIAIS,210,"4,00",25/11/2024,MEDICAMENTO
ACIDO URSODESOXICÓLICO 150MG,750,"1,11",25/11/2024,MEDICAMENTO
ACIDO URSODESOXICOLICO 300MG,14310,"1,90",25/11/2024,MEDICAMENTO
ACIDO ZOLEDRÔNICO 5MG/100ML,35,"578,34",25/11/2024,MEDICAMENTO
ADALIMUMABE 40 MG,0,"504,50",25/11/2024,MEDICAMENTO
ALENDRONATO DE SÓDIO 70 MG,168,"0,27",25/11/2024,MEDICAMENTO
AFLIBERCEPTE 40MG,0,"3078,65",25/11/2024,MEDICAMENTO
ALFA 1 ANTITRIPSINA HUMANA ,0,"826,65",25/11/2024,MEDICAMENTO
ALFA-GLICOSIDASE 50MG,0,"1869,54",25/11/2024,MEDICAMENTO
ALFAEPOETINA 4.000UI,256,"20,01",25/11/2024,MEDICAMENTO
"ALOGLIPTINA 12,5 MG + METFORMINA 850 MG",0,"1,95",25/11/2024,MEDICAMENTO
"ALPINIA ZERUMBET 0,08 SPRAY ",24,"439,78",25/11/2024,MEDICAMENTO
ALPRAZOLAM 2 MG,0,"0,15",25/11/2024,MEDICAMENTO
AMBRISENTANA 5MG,420,"37,72",25/11/2024,MEDICAMENTO
AMBRISENTANA 10MG,240,"40,10",25/11/2024,MEDICAMENTO
AMITRIPTILINA 25MG,0,"0,10",25/11/2024,MEDICAMENTO
AMILORIDA 5 MG + CLORTALIDONA 25 MG,0,"0,08",25/11/2024,MEDICAMENTO
AMIODARONA 200MG,0,"0,47",25/11/2024,MEDICAMENTO
"APIXABANA 2,5MG",1380,"0,77",25/11/2024,MEDICAMENTO
APIXABANA 5 MG,4590,"0,77",25/11/2024,MEDICAMENTO
ARIPIPRAZOL 10MG,0,"0,00",25/11/2024,MEDICAMENTO
ARIPIPRAZOL 15MG,0,"1,41",25/11/2024,MEDICAMENTO
ARIPIPRAZOL 30MG,1020,"13,51",25/11/2024,MEDICAMENTO
ATORVASTATINA 10MG,0,"0,13",25/11/2024,MEDICAMENTO
ATORVASTATINA 20MG,0,"0,22",25/11/2024,MEDICAMENTO
ATORVASTATINA 40 MG,2400,"0,63",25/11/2024,MEDICAMENTO
ARIPIPRAZOL 20MG,0,"0,00",25/11/2024,MEDICAMENTO
AZATIOPRINA 50 MG,0,"0,62",25/11/2024,MEDICAMENTO
AZACITIDINA 100MG,0,"475,00",25/11/2024,MEDICAMENTO
BACLOFENO 10MG,2680,"0,11",25/11/2024,MEDICAMENTO
BARICITINIBE 4MG,900,"154,32",25/11/2024,MEDICAMENTO
BAMIFILINA 300MG,0,"1,06",25/11/2024,MEDICAMENTO
BELIMUMABE 120MG,41,"694,74",25/11/2024,MEDICAMENTO
BELIMUMABE 200MG SERINGA,36,"1363,35",25/11/2024,MEDICAMENTO
BELIMUMABE 400MG,54,"2315,78",25/11/2024,MEDICAMENTO
